id,name,album,release_date,track_number,attribute names,attribute values,uri
1OcSfkeCg9hRC2sFKB4IMJ,Out Of The Woods (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,4,popularity,72,spotify:track:1OcSfkeCg9hRC2sFKB4IMJ
1OcSfkeCg9hRC2sFKB4IMJ,Out Of The Woods (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,4,speechiness,0.0447,spotify:track:1OcSfkeCg9hRC2sFKB4IMJ
1OcSfkeCg9hRC2sFKB4IMJ,Out Of The Woods (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,4,tempo,92.021,spotify:track:1OcSfkeCg9hRC2sFKB4IMJ
1OcSfkeCg9hRC2sFKB4IMJ,Out Of The Woods (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,4,loudness,-5.968,spotify:track:1OcSfkeCg9hRC2sFKB4IMJ
1OcSfkeCg9hRC2sFKB4IMJ,Out Of The Woods (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,4,valence,0.206,spotify:track:1OcSfkeCg9hRC2sFKB4IMJ
2k0ZEeAqzvYMcx9Qt5aClQ,All You Had To Do Was Stay (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,5,acousticness,0.000656,spotify:track:2k0ZEeAqzvYMcx9Qt5aClQ
2k0ZEeAqzvYMcx9Qt5aClQ,All You Had To Do Was Stay (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,5,danceability,0.588,spotify:track:2k0ZEeAqzvYMcx9Qt5aClQ
2k0ZEeAqzvYMcx9Qt5aClQ,All You Had To Do Was Stay (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,5,liveness,0.131,spotify:track:2k0ZEeAqzvYMcx9Qt5aClQ
2k0ZEeAqzvYMcx9Qt5aClQ,All You Had To Do Was Stay (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,5,instrumentalness,0,spotify:track:2k0ZEeAqzvYMcx9Qt5aClQ
2k0ZEeAqzvYMcx9Qt5aClQ,All You Had To Do Was Stay (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,5,energy,0.721,spotify:track:2k0ZEeAqzvYMcx9Qt5aClQ
2k0ZEeAqzvYMcx9Qt5aClQ,All You Had To Do Was Stay (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,5,duration_ms,193289,spotify:track:2k0ZEeAqzvYMcx9Qt5aClQ
2k0ZEeAqzvYMcx9Qt5aClQ,All You Had To Do Was Stay (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,5,popularity,71,spotify:track:2k0ZEeAqzvYMcx9Qt5aClQ
2k0ZEeAqzvYMcx9Qt5aClQ,All You Had To Do Was Stay (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,5,speechiness,0.0317,spotify:track:2k0ZEeAqzvYMcx9Qt5aClQ
2k0ZEeAqzvYMcx9Qt5aClQ,All You Had To Do Was Stay (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,5,tempo,96.997,spotify:track:2k0ZEeAqzvYMcx9Qt5aClQ
2k0ZEeAqzvYMcx9Qt5aClQ,All You Had To Do Was Stay (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,5,loudness,-5.579,spotify:track:2k0ZEeAqzvYMcx9Qt5aClQ
2k0ZEeAqzvYMcx9Qt5aClQ,All You Had To Do Was Stay (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,5,valence,0.52,spotify:track:2k0ZEeAqzvYMcx9Qt5aClQ
